Gene	Module	kME
ENSMUSG00000000823	P2_I12_M5	0.93
ENSMUSG00000000826	P1_I9_M1	0.93
ENSMUSG00000000827	P1_I9_M1	0.93
ENSMUSG00000000838	UNCLASSIFIED	NA
ENSMUSG00000000861	P6_I6_M7	0.84
ENSMUSG00000000869	P1_I9_M1	0.84
ENSMUSG00000000876	UNCLASSIFIED	NA
ENSMUSG00000000881	UNCLASSIFIED	NA
ENSMUSG00000000884	P4_I9_M4	0.88
ENSMUSG00000000901	UNCLASSIFIED	NA
ENSMUSG00000000902	P3_I9_M4	0.93
ENSMUSG00000000903	UNCLASSIFIED	NA
ENSMUSG00000000915	UNCLASSIFIED	NA
ENSMUSG00000000916	P2_I12_M5	0.84
ENSMUSG00000000934	UNCLASSIFIED	NA
ENSMUSG00000000938	P7_I7_M2	0.85
ENSMUSG00000000942	P4_I9_M18	0.81
ENSMUSG00000000948	P2_I12_M1	0.89
ENSMUSG00000000957	P3_I9_M12	0.91
ENSMUSG00000000958	P4_I9_M2	0.82
ENSMUSG00000000959	P5_I8_M4	0.89
ENSMUSG00000000976	P6_I6_M8	0.92
ENSMUSG00000000982	P9_I6_M1	0.83
ENSMUSG00000000983	UNCLASSIFIED	NA
ENSMUSG00000001014	UNCLASSIFIED	NA
ENSMUSG00000001016	P1_I9_M1	0.91
ENSMUSG00000001017	P1_I9_M1	0.89
ENSMUSG00000001018	P2_I12_M3	0.88
ENSMUSG00000001020	P4_I9_M25	0.93
ENSMUSG00000001021	P2_I12_M1	0.86
ENSMUSG00000001025	P3_I9_M12	0.92
ENSMUSG00000001027	P1_I9_M4	0.98
ENSMUSG00000001029	P4_I9_M6	0.92
ENSMUSG00000001034	P1_I9_M1	0.92
ENSMUSG00000001036	P2_I12_M3	0.92
ENSMUSG00000001039	P6_I6_M3	0.88
ENSMUSG00000001052	P3_I9_M4	0.92
ENSMUSG00000001053	P4_I9_M6	0.92
ENSMUSG00000001054	P9_I6_M2	0.91
ENSMUSG00000001056	P4_I9_M25	0.86
ENSMUSG00000001062	P5_I8_M17	0.85
ENSMUSG00000001065	UNCLASSIFIED	NA
ENSMUSG00000001076	P2_I12_M10	0.85
ENSMUSG00000001082	P4_I9_M6	0.92
ENSMUSG00000001089	P7_I7_M1	0.94
ENSMUSG00000001095	UNCLASSIFIED	NA
ENSMUSG00000001098	P1_I9_M1	0.97
ENSMUSG00000001100	P4_I9_M11	0.82
ENSMUSG00000001103	P1_I9_M2	0.88
ENSMUSG00000001105	P4_I9_M2	0.85
ENSMUSG00000001119	P2_I12_M1	0.93
ENSMUSG00000001120	P1_I9_M1	0.91
ENSMUSG00000001123	P1_I9_M2	0.95
ENSMUSG00000001127	P4_I9_M8	0.91
ENSMUSG00000001128	UNCLASSIFIED	NA
ENSMUSG00000001131	P5_I8_M10	0.88
ENSMUSG00000001134	UNCLASSIFIED	NA
ENSMUSG00000001138	P2_I12_M3	0.91
ENSMUSG00000001143	P6_I6_M4	0.9
ENSMUSG00000001150	P8_I5_M1	0.9
ENSMUSG00000001151	P3_I9_M14	0.89
ENSMUSG00000001155	P1_I9_M2	0.95
ENSMUSG00000001156	UNCLASSIFIED	NA
ENSMUSG00000001157	P2_I12_M6	0.86
ENSMUSG00000001158	P4_I9_M4	0.93
ENSMUSG00000001166	UNCLASSIFIED	NA
ENSMUSG00000001168	UNCLASSIFIED	NA
ENSMUSG00000001173	P1_I9_M1	0.96
ENSMUSG00000001175	P3_I9_M7	0.93
ENSMUSG00000001211	P5_I8_M13	0.84
ENSMUSG00000001225	P1_I9_M3	0.95
ENSMUSG00000001227	P4_I9_M23	0.86
ENSMUSG00000001228	P2_I12_M1	0.96
ENSMUSG00000001229	UNCLASSIFIED	NA
ENSMUSG00000001240	P2_I12_M4	0.92
ENSMUSG00000001247	P1_I9_M2	0.94
ENSMUSG00000001248	P1_I9_M1	0.9
ENSMUSG00000001249	P1_I9_M2	0.96
ENSMUSG00000001270	P3_I9_M1	0.91
ENSMUSG00000001280	P2_I12_M2	0.97
ENSMUSG00000001281	P6_I6_M7	0.9
ENSMUSG00000001285	P4_I9_M6	0.82
ENSMUSG00000001288	P2_I12_M3	0.94
ENSMUSG00000001289	P2_I12_M4	0.91
ENSMUSG00000001300	P1_I9_M1	0.9
ENSMUSG00000001305	P3_I9_M4	0.8
ENSMUSG00000001313	P4_I9_M2	0.9
ENSMUSG00000001323	P2_I12_M16	0.93
ENSMUSG00000001333	P2_I12_M9	0.88
ENSMUSG00000001334	P1_I9_M4	0.84
ENSMUSG00000001348	P4_I9_M17	0.86
