Gene	Module	kME
ENSMUSG00000025404	P6_I6_M8	0.89
ENSMUSG00000025405	P1_I9_M2	0.95
ENSMUSG00000025407	P5_I8_M12	0.89
ENSMUSG00000025408	P3_I9_M10	0.89
ENSMUSG00000025409	P2_I12_M5	0.95
ENSMUSG00000025410	P2_I12_M4	0.96
ENSMUSG00000025413	P4_I9_M8	0.89
ENSMUSG00000025417	P1_I9_M1	0.94
ENSMUSG00000025420	P2_I12_M3	0.85
ENSMUSG00000025421	P2_I12_M13	0.91
ENSMUSG00000025422	P6_I6_M7	0.82
ENSMUSG00000025423	P2_I12_M2	0.9
ENSMUSG00000025425	P1_I9_M4	0.97
ENSMUSG00000025427	UNCLASSIFIED	NA
ENSMUSG00000025428	P1_I9_M7	0.94
ENSMUSG00000025429	UNCLASSIFIED	NA
ENSMUSG00000025432	P4_I9_M21	0.83
ENSMUSG00000025433	P6_I6_M7	0.9
ENSMUSG00000025436	UNCLASSIFIED	NA
ENSMUSG00000025437	P2_I12_M2	0.92
ENSMUSG00000025439	P3_I9_M16	0.86
ENSMUSG00000025450	P9_I6_M4	0.89
ENSMUSG00000025451	P5_I8_M1	0.81
ENSMUSG00000025453	UNCLASSIFIED	NA
ENSMUSG00000025461	P4_I9_M24	0.82
ENSMUSG00000025464	UNCLASSIFIED	NA
ENSMUSG00000025465	P5_I8_M13	0.89
ENSMUSG00000025466	P1_I9_M7	0.82
ENSMUSG00000025467	UNCLASSIFIED	NA
ENSMUSG00000025468	P4_I9_M20	0.91
ENSMUSG00000025469	UNCLASSIFIED	NA
ENSMUSG00000025470	P3_I9_M1	0.83
ENSMUSG00000025473	P2_I12_M1	0.93
ENSMUSG00000025474	P1_I9_M1	0.95
ENSMUSG00000025475	P5_I8_M7	0.87
ENSMUSG00000025477	P3_I9_M7	0.92
ENSMUSG00000025478	UNCLASSIFIED	NA
ENSMUSG00000025479	P2_I12_M19	0.83
ENSMUSG00000025480	UNCLASSIFIED	NA
ENSMUSG00000025481	P1_I9_M2	0.95
ENSMUSG00000025484	P1_I9_M1	0.88
ENSMUSG00000025485	P1_I9_M1	0.96
ENSMUSG00000025486	P6_I6_M2	0.93
ENSMUSG00000025487	P3_I9_M7	0.92
ENSMUSG00000025488	P1_I9_M7	0.84
ENSMUSG00000025489	UNCLASSIFIED	NA
ENSMUSG00000025491	UNCLASSIFIED	NA
ENSMUSG00000025492	UNCLASSIFIED	NA
ENSMUSG00000025494	UNCLASSIFIED	NA
ENSMUSG00000025495	P2_I12_M13	0.94
ENSMUSG00000025496	P1_I9_M3	0.97
ENSMUSG00000025497	P2_I12_M10	0.93
ENSMUSG00000025498	UNCLASSIFIED	NA
ENSMUSG00000025499	UNCLASSIFIED	NA
ENSMUSG00000025500	P7_I7_M6	0.91
ENSMUSG00000025503	P2_I12_M13	0.93
ENSMUSG00000025504	P2_I12_M10	0.96
ENSMUSG00000025505	P1_I9_M1	0.91
ENSMUSG00000025507	P4_I9_M8	0.83
ENSMUSG00000025508	P2_I12_M4	0.88
ENSMUSG00000025509	P6_I6_M10	0.89
ENSMUSG00000025510	P2_I12_M4	0.91
ENSMUSG00000025511	UNCLASSIFIED	NA
ENSMUSG00000025512	UNCLASSIFIED	NA
ENSMUSG00000025515	P2_I12_M8	0.8
ENSMUSG00000025521	P5_I8_M6	0.82
ENSMUSG00000025525	UNCLASSIFIED	NA
ENSMUSG00000025527	UNCLASSIFIED	NA
ENSMUSG00000025529	UNCLASSIFIED	NA
ENSMUSG00000025531	P11_I1_M3	0.92
ENSMUSG00000025532	P3_I9_M12	0.9
ENSMUSG00000025533	P1_I9_M2	0.97
ENSMUSG00000025534	P2_I12_M1	0.92
ENSMUSG00000025537	P1_I9_M4	0.83
ENSMUSG00000025538	P5_I8_M3	0.87
ENSMUSG00000025544	P3_I9_M6	0.89
ENSMUSG00000025545	P2_I12_M13	0.88
ENSMUSG00000025551	P5_I8_M17	0.82
ENSMUSG00000025555	UNCLASSIFIED	NA
ENSMUSG00000025558	P3_I9_M9	0.91
ENSMUSG00000025571	P2_I12_M2	0.94
ENSMUSG00000025572	P2_I12_M1	0.92
ENSMUSG00000025573	UNCLASSIFIED	NA
ENSMUSG00000025574	P4_I9_M19	0.81
ENSMUSG00000025575	P3_I9_M4	0.93
ENSMUSG00000025576	P1_I9_M3	0.95
ENSMUSG00000025577	UNCLASSIFIED	NA
ENSMUSG00000025578	P3_I9_M10	0.88
ENSMUSG00000025579	P4_I9_M15	0.82
ENSMUSG00000025580	P2_I12_M4	0.91
ENSMUSG00000025582	P5_I8_M16	0.82
ENSMUSG00000025583	P5_I8_M17	0.91
ENSMUSG00000025584	P9_I6_M5	0.85
ENSMUSG00000025586	P1_I9_M1	0.91
ENSMUSG00000025588	UNCLASSIFIED	NA
ENSMUSG00000025591	P1_I9_M1	0.82
ENSMUSG00000025592	UNCLASSIFIED	NA
ENSMUSG00000025597	P2_I12_M3	0.83
ENSMUSG00000025602	P2_I12_M5	0.9
ENSMUSG00000025607	P4_I9_M25	0.93
ENSMUSG00000025608	P2_I12_M3	0.92
ENSMUSG00000025609	P2_I12_M2	0.91
ENSMUSG00000025610	P5_I8_M2	0.86
ENSMUSG00000025612	P7_I7_M1	0.84
ENSMUSG00000025613	P2_I12_M1	0.87
ENSMUSG00000025616	P3_I9_M6	0.93
ENSMUSG00000025626	P5_I8_M9	0.93
ENSMUSG00000025630	P3_I9_M7	0.9
ENSMUSG00000025644	UNCLASSIFIED	NA
ENSMUSG00000025645	UNCLASSIFIED	NA
ENSMUSG00000025646	P4_I9_M7	0.9
ENSMUSG00000025647	P4_I9_M2	0.92
ENSMUSG00000025648	P4_I9_M25	0.95
ENSMUSG00000025650	UNCLASSIFIED	NA
ENSMUSG00000025651	P1_I9_M7	0.94
ENSMUSG00000025656	P4_I9_M18	0.89
ENSMUSG00000025665	P1_I9_M3	0.91
ENSMUSG00000025666	P3_I9_M4	0.85
ENSMUSG00000025701	P1_I9_M1	0.91
ENSMUSG00000025702	UNCLASSIFIED	NA
ENSMUSG00000025722	UNCLASSIFIED	NA
ENSMUSG00000025723	UNCLASSIFIED	NA
ENSMUSG00000025724	UNCLASSIFIED	NA
ENSMUSG00000025726	P2_I12_M15	0.86
ENSMUSG00000025728	P5_I8_M4	0.87
ENSMUSG00000025730	P3_I9_M1	0.87
ENSMUSG00000025731	P1_I9_M2	0.95
ENSMUSG00000025732	P1_I9_M7	0.83
ENSMUSG00000025733	UNCLASSIFIED	NA
ENSMUSG00000025735	P10_I3_M4	0.86
ENSMUSG00000025736	P7_I7_M3	0.92
ENSMUSG00000025737	UNCLASSIFIED	NA
ENSMUSG00000025738	P3_I9_M16	0.81
ENSMUSG00000025739	UNCLASSIFIED	NA
ENSMUSG00000025742	P4_I9_M10	0.92
ENSMUSG00000025743	P4_I9_M7	0.91
ENSMUSG00000025745	P1_I9_M7	0.93
ENSMUSG00000025746	P2_I12_M1	0.84
ENSMUSG00000025747	P2_I12_M1	0.89
ENSMUSG00000025754	P3_I9_M23	0.9
ENSMUSG00000025757	UNCLASSIFIED	NA
ENSMUSG00000025758	P1_I9_M1	0.85
ENSMUSG00000025759	P3_I9_M6	0.9
ENSMUSG00000025762	UNCLASSIFIED	NA
ENSMUSG00000025764	P4_I9_M12	0.92
ENSMUSG00000025766	P4_I9_M17	0.93
ENSMUSG00000025776	P6_I6_M3	0.86
ENSMUSG00000025777	P1_I9_M4	0.95
ENSMUSG00000025779	P3_I9_M12	0.83
ENSMUSG00000025780	P4_I9_M12	0.91
ENSMUSG00000025781	UNCLASSIFIED	NA
ENSMUSG00000025782	P1_I9_M1	0.92
ENSMUSG00000025784	P3_I9_M12	0.91
ENSMUSG00000025785	UNCLASSIFIED	NA
ENSMUSG00000025786	P1_I9_M1	0.97
ENSMUSG00000025787	P3_I9_M12	0.91
ENSMUSG00000025789	P4_I9_M1	0.87
ENSMUSG00000025790	P2_I12_M1	0.95
ENSMUSG00000025791	P1_I9_M4	0.84
ENSMUSG00000025792	P3_I9_M13	0.86
ENSMUSG00000025793	P3_I9_M4	0.87
ENSMUSG00000025794	UNCLASSIFIED	NA
ENSMUSG00000025795	UNCLASSIFIED	NA
ENSMUSG00000025804	P2_I12_M1	0.8
ENSMUSG00000025808	P3_I9_M5	0.82
ENSMUSG00000025809	P1_I9_M1	0.96
ENSMUSG00000025810	P3_I9_M9	0.9
ENSMUSG00000025812	P10_I3_M3	0.8
ENSMUSG00000025813	P1_I9_M2	0.88
ENSMUSG00000025815	P2_I12_M12	0.89
ENSMUSG00000025816	P4_I9_M8	0.92
ENSMUSG00000025817	P3_I9_M2	0.9
ENSMUSG00000025821	P1_I9_M1	0.91
ENSMUSG00000025823	P3_I9_M19	0.88
ENSMUSG00000025825	P4_I9_M4	0.92
ENSMUSG00000025854	P4_I9_M22	0.88
ENSMUSG00000025855	P2_I12_M3	0.88
ENSMUSG00000025856	P2_I12_M1	0.9
ENSMUSG00000025857	P3_I9_M1	0.93
ENSMUSG00000025858	P2_I12_M4	0.96
ENSMUSG00000025860	P4_I9_M13	0.83
ENSMUSG00000025862	P2_I12_M2	0.94
ENSMUSG00000025867	P4_I9_M6	0.88
ENSMUSG00000025868	P3_I9_M7	0.88
ENSMUSG00000025869	P6_I6_M11	0.86
ENSMUSG00000025870	P3_I9_M1	0.91
ENSMUSG00000025871	P3_I9_M4	0.84
ENSMUSG00000025872	P2_I12_M3	0.88
ENSMUSG00000025873	P5_I8_M9	0.88
ENSMUSG00000025875	P3_I9_M7	0.91
ENSMUSG00000025876	P1_I9_M5	0.9
ENSMUSG00000025877	P10_I3_M1	0.91
ENSMUSG00000025878	P8_I5_M3	0.88
ENSMUSG00000025880	P5_I8_M9	0.86
ENSMUSG00000025885	UNCLASSIFIED	NA
ENSMUSG00000025887	P1_I9_M1	0.9
ENSMUSG00000025888	P1_I9_M1	0.89
ENSMUSG00000025889	P1_I9_M9	0.81
ENSMUSG00000025892	UNCLASSIFIED	NA
ENSMUSG00000025893	P5_I8_M1	0.89
ENSMUSG00000025894	UNCLASSIFIED	NA
ENSMUSG00000025898	P2_I12_M2	0.91
ENSMUSG00000025899	P2_I12_M2	0.91
ENSMUSG00000025900	P1_I9_M3	0.94
ENSMUSG00000025902	P3_I9_M3	0.95
ENSMUSG00000025903	UNCLASSIFIED	NA
ENSMUSG00000025907	P2_I12_M2	0.91
ENSMUSG00000025911	P5_I8_M1	0.87
ENSMUSG00000025912	P3_I9_M17	0.83
ENSMUSG00000025915	P4_I9_M7	0.84
ENSMUSG00000025916	P1_I9_M3	0.86
ENSMUSG00000025917	P2_I12_M7	0.86
ENSMUSG00000025920	P5_I8_M4	0.92
ENSMUSG00000025921	UNCLASSIFIED	NA
ENSMUSG00000025922	UNCLASSIFIED	NA
ENSMUSG00000025925	UNCLASSIFIED	NA
ENSMUSG00000025930	P4_I9_M1	0.88
ENSMUSG00000025931	P3_I9_M4	0.85
ENSMUSG00000025932	UNCLASSIFIED	NA
ENSMUSG00000025933	P5_I8_M2	0.83
ENSMUSG00000025934	P2_I12_M19	0.9
ENSMUSG00000025935	UNCLASSIFIED	NA
ENSMUSG00000025936	P2_I12_M14	0.89
ENSMUSG00000025937	P2_I12_M17	0.96
ENSMUSG00000025938	P1_I9_M4	0.88
ENSMUSG00000025939	P3_I9_M7	0.91
ENSMUSG00000025940	UNCLASSIFIED	NA
ENSMUSG00000025949	P2_I12_M2	0.9
ENSMUSG00000025950	UNCLASSIFIED	NA
ENSMUSG00000025955	UNCLASSIFIED	NA
ENSMUSG00000025956	P5_I8_M3	0.88
ENSMUSG00000025958	P2_I12_M2	0.93
ENSMUSG00000025959	P2_I12_M2	0.91
ENSMUSG00000025961	UNCLASSIFIED	NA
ENSMUSG00000025962	UNCLASSIFIED	NA
ENSMUSG00000025963	P1_I9_M3	0.97
ENSMUSG00000025964	P3_I9_M12	0.9
ENSMUSG00000025967	P2_I12_M4	0.91
ENSMUSG00000025968	P1_I9_M7	0.88
ENSMUSG00000025969	P9_I6_M5	0.86
ENSMUSG00000025971	UNCLASSIFIED	NA
ENSMUSG00000025978	P3_I9_M4	0.89
ENSMUSG00000025979	P4_I9_M16	0.93
ENSMUSG00000025980	UNCLASSIFIED	NA
ENSMUSG00000025981	P4_I9_M16	0.84
ENSMUSG00000025982	P1_I9_M1	0.94
ENSMUSG00000025983	P1_I9_M3	0.95
ENSMUSG00000025986	P1_I9_M1	0.95
ENSMUSG00000025991	P1_I9_M2	0.93
ENSMUSG00000025993	P1_I9_M2	0.89
ENSMUSG00000025995	P1_I9_M1	0.91
ENSMUSG00000025997	P5_I8_M1	0.81
ENSMUSG00000026000	P3_I9_M2	0.94
ENSMUSG00000026003	P1_I9_M7	0.91
ENSMUSG00000026004	P2_I12_M2	0.89
ENSMUSG00000026005	P8_I5_M3	0.82
ENSMUSG00000026009	P6_I6_M7	0.83
ENSMUSG00000026011	UNCLASSIFIED	NA
ENSMUSG00000026012	UNCLASSIFIED	NA
ENSMUSG00000026014	UNCLASSIFIED	NA
ENSMUSG00000026017	P2_I12_M2	0.9
ENSMUSG00000026018	P4_I9_M23	0.89
ENSMUSG00000026019	P2_I12_M1	0.88
ENSMUSG00000026020	P4_I9_M7	0.84
ENSMUSG00000026021	P4_I9_M11	0.91
ENSMUSG00000026023	P7_I7_M4	0.88
ENSMUSG00000026024	P2_I12_M16	0.91
ENSMUSG00000026027	UNCLASSIFIED	NA
ENSMUSG00000026028	P1_I9_M1	0.92
ENSMUSG00000026029	P3_I9_M12	0.88
ENSMUSG00000026031	P2_I12_M2	0.93
ENSMUSG00000026032	P4_I9_M11	0.93
ENSMUSG00000026034	P2_I12_M5	0.91
ENSMUSG00000026035	P1_I9_M1	0.86
ENSMUSG00000026036	P2_I12_M1	0.89
ENSMUSG00000026037	P1_I9_M1	0.97
ENSMUSG00000026039	P5_I8_M10	0.87
ENSMUSG00000026042	P2_I12_M1	0.95
ENSMUSG00000026043	P2_I12_M1	0.93
ENSMUSG00000026047	P1_I9_M1	0.88
ENSMUSG00000026048	P2_I12_M3	0.9
ENSMUSG00000026049	UNCLASSIFIED	NA
ENSMUSG00000026051	P2_I12_M6	0.87
ENSMUSG00000026062	P1_I9_M4	0.8
ENSMUSG00000026064	UNCLASSIFIED	NA
ENSMUSG00000026065	P2_I12_M1	0.94
ENSMUSG00000026068	P4_I9_M1	0.9
ENSMUSG00000026069	P2_I12_M7	0.89
ENSMUSG00000026070	P4_I9_M6	0.89
ENSMUSG00000026072	UNCLASSIFIED	NA
ENSMUSG00000026073	UNCLASSIFIED	NA
ENSMUSG00000026074	P1_I9_M1	0.94
ENSMUSG00000026077	UNCLASSIFIED	NA
ENSMUSG00000026078	P6_I6_M5	0.9
ENSMUSG00000026080	P3_I9_M10	0.88
ENSMUSG00000026082	P2_I12_M3	0.88
ENSMUSG00000026083	P1_I9_M1	0.89
ENSMUSG00000026087	P4_I9_M4	0.89
ENSMUSG00000026088	P2_I12_M5	0.86
ENSMUSG00000026090	P4_I9_M10	0.92
ENSMUSG00000026094	P1_I9_M1	0.87
ENSMUSG00000026095	P2_I12_M9	0.87
ENSMUSG00000026096	UNCLASSIFIED	NA
ENSMUSG00000026097	UNCLASSIFIED	NA
ENSMUSG00000026098	UNCLASSIFIED	NA
ENSMUSG00000026100	P1_I9_M4	0.8
ENSMUSG00000026102	P3_I9_M9	0.94
ENSMUSG00000026103	P1_I9_M1	0.94
ENSMUSG00000026104	P7_I7_M1	0.83
ENSMUSG00000026107	UNCLASSIFIED	NA
ENSMUSG00000026109	P3_I9_M15	0.93
ENSMUSG00000026110	P4_I9_M12	0.88
ENSMUSG00000026111	P1_I9_M1	0.88
ENSMUSG00000026112	UNCLASSIFIED	NA
ENSMUSG00000026113	P4_I9_M14	0.89
ENSMUSG00000026114	UNCLASSIFIED	NA
ENSMUSG00000026116	P6_I6_M8	0.93
ENSMUSG00000026117	UNCLASSIFIED	NA
ENSMUSG00000026121	P1_I9_M1	0.92
ENSMUSG00000026123	P2_I12_M7	0.95
ENSMUSG00000026125	UNCLASSIFIED	NA
ENSMUSG00000026126	P2_I12_M4	0.87
ENSMUSG00000026127	P3_I9_M4	0.86
ENSMUSG00000026131	P3_I9_M9	0.91
ENSMUSG00000026134	P3_I9_M12	0.92
ENSMUSG00000026135	P2_I12_M5	0.91
ENSMUSG00000026142	P4_I9_M1	0.9
ENSMUSG00000026150	P2_I12_M9	0.9
ENSMUSG00000026153	UNCLASSIFIED	NA
ENSMUSG00000026154	P4_I9_M11	0.83
ENSMUSG00000026155	P1_I9_M1	0.92
ENSMUSG00000026156	P3_I9_M7	0.93
ENSMUSG00000026158	UNCLASSIFIED	NA
ENSMUSG00000026159	P1_I9_M1	0.94
ENSMUSG00000026162	UNCLASSIFIED	NA
ENSMUSG00000026170	P2_I12_M19	0.9
ENSMUSG00000026171	P6_I6_M3	0.9
ENSMUSG00000026172	UNCLASSIFIED	NA
ENSMUSG00000026173	P1_I9_M4	0.89
ENSMUSG00000026174	P4_I9_M1	0.89
ENSMUSG00000026175	P1_I9_M3	0.98
ENSMUSG00000026176	UNCLASSIFIED	NA
ENSMUSG00000026177	P2_I12_M1	0.91
ENSMUSG00000026179	P3_I9_M19	0.86
ENSMUSG00000026180	UNCLASSIFIED	NA
ENSMUSG00000026181	P1_I9_M1	0.87
ENSMUSG00000026185	P1_I9_M1	0.85
ENSMUSG00000026187	UNCLASSIFIED	NA
ENSMUSG00000026188	UNCLASSIFIED	NA
ENSMUSG00000026189	P1_I9_M2	0.98
ENSMUSG00000026192	P4_I9_M22	0.91
ENSMUSG00000026193	UNCLASSIFIED	NA
ENSMUSG00000026196	P5_I8_M10	0.86
ENSMUSG00000026197	UNCLASSIFIED	NA
ENSMUSG00000026198	P1_I9_M2	0.85
ENSMUSG00000026199	UNCLASSIFIED	NA
ENSMUSG00000026200	P4_I9_M7	0.89
ENSMUSG00000026201	UNCLASSIFIED	NA
ENSMUSG00000026202	UNCLASSIFIED	NA
ENSMUSG00000026203	P9_I6_M4	0.81
ENSMUSG00000026204	UNCLASSIFIED	NA
ENSMUSG00000026205	UNCLASSIFIED	NA
ENSMUSG00000026207	P1_I9_M4	0.91
ENSMUSG00000026208	P1_I9_M4	0.98
ENSMUSG00000026209	UNCLASSIFIED	NA
ENSMUSG00000026211	P7_I7_M2	0.95
ENSMUSG00000026213	P3_I9_M3	0.93
ENSMUSG00000026219	P6_I6_M8	0.94
ENSMUSG00000026220	P2_I12_M8	0.86
ENSMUSG00000026222	P3_I9_M4	0.88
ENSMUSG00000026223	P2_I12_M4	0.9
ENSMUSG00000026224	UNCLASSIFIED	NA
ENSMUSG00000026226	UNCLASSIFIED	NA
ENSMUSG00000026227	P1_I9_M2	0.94
ENSMUSG00000026228	UNCLASSIFIED	NA
ENSMUSG00000026229	P7_I7_M1	0.83
ENSMUSG00000026234	P1_I9_M1	0.93
ENSMUSG00000026235	P2_I12_M5	0.9
ENSMUSG00000026237	UNCLASSIFIED	NA
ENSMUSG00000026238	P4_I9_M2	0.84
ENSMUSG00000026239	P2_I12_M4	0.9
ENSMUSG00000026240	UNCLASSIFIED	NA
ENSMUSG00000026241	UNCLASSIFIED	NA
ENSMUSG00000026245	P3_I9_M7	0.88
ENSMUSG00000026247	UNCLASSIFIED	NA
ENSMUSG00000026248	UNCLASSIFIED	NA
ENSMUSG00000026249	P3_I9_M15	0.93
ENSMUSG00000026251	P4_I9_M21	0.95
ENSMUSG00000026254	P3_I9_M7	0.93
ENSMUSG00000026255	P2_I12_M8	0.95
ENSMUSG00000026259	P1_I9_M2	0.9
ENSMUSG00000026260	P1_I9_M7	0.95
ENSMUSG00000026269	P6_I6_M10	0.9
ENSMUSG00000026270	UNCLASSIFIED	NA
ENSMUSG00000026271	P2_I12_M1	0.9
ENSMUSG00000026272	P1_I9_M2	0.94
ENSMUSG00000026273	UNCLASSIFIED	NA
ENSMUSG00000026274	P1_I9_M1	0.91
ENSMUSG00000026275	P1_I9_M1	0.92
ENSMUSG00000026276	P1_I9_M1	0.96
ENSMUSG00000026277	P1_I9_M1	0.93
ENSMUSG00000026278	P6_I6_M11	0.82
ENSMUSG00000026279	P6_I6_M3	0.81
ENSMUSG00000026280	P1_I9_M1	0.9
ENSMUSG00000026281	P2_I12_M4	0.88
ENSMUSG00000026283	P3_I9_M4	0.9
ENSMUSG00000026285	UNCLASSIFIED	NA
ENSMUSG00000026288	P1_I9_M1	0.89
ENSMUSG00000026289	P1_I9_M1	0.91
ENSMUSG00000026295	P1_I9_M2	0.96
ENSMUSG00000026301	P1_I9_M3	0.96
ENSMUSG00000026303	P1_I9_M3	0.94
ENSMUSG00000026304	P2_I12_M10	0.88
ENSMUSG00000026305	P3_I9_M20	0.9
ENSMUSG00000026307	P2_I12_M16	0.87
ENSMUSG00000026308	P1_I9_M4	0.98
ENSMUSG00000026309	P4_I9_M8	0.89
ENSMUSG00000026311	P5_I8_M1	0.91
ENSMUSG00000026313	P1_I9_M1	0.9
ENSMUSG00000026315	P4_I9_M7	0.89
ENSMUSG00000026317	P2_I12_M1	0.86
ENSMUSG00000026319	P2_I12_M2	0.91
ENSMUSG00000026321	P2_I12_M7	0.9
ENSMUSG00000026333	UNCLASSIFIED	NA
ENSMUSG00000026335	P2_I12_M1	0.94
ENSMUSG00000026339	P3_I9_M17	0.94
ENSMUSG00000026341	P4_I9_M7	0.92
ENSMUSG00000026342	UNCLASSIFIED	NA
ENSMUSG00000026343	UNCLASSIFIED	NA
ENSMUSG00000026344	UNCLASSIFIED	NA
ENSMUSG00000026347	P7_I7_M7	0.8
ENSMUSG00000026348	P1_I9_M2	0.97
ENSMUSG00000026349	P6_I6_M1	0.89
ENSMUSG00000026353	UNCLASSIFIED	NA
ENSMUSG00000026355	UNCLASSIFIED	NA
ENSMUSG00000026356	UNCLASSIFIED	NA
ENSMUSG00000026357	P2_I12_M1	0.93
ENSMUSG00000026358	P2_I12_M1	0.92
ENSMUSG00000026360	P3_I9_M21	0.9
ENSMUSG00000026361	P4_I9_M12	0.94
ENSMUSG00000026365	P2_I12_M16	0.85
ENSMUSG00000026368	P1_I9_M2	0.96
ENSMUSG00000026374	P1_I9_M1	0.92
ENSMUSG00000026377	UNCLASSIFIED	NA
ENSMUSG00000026380	UNCLASSIFIED	NA
ENSMUSG00000026383	P2_I12_M16	0.82
ENSMUSG00000026384	P5_I8_M1	0.88
ENSMUSG00000026385	P4_I9_M11	0.88
ENSMUSG00000026387	P3_I9_M8	0.91
ENSMUSG00000026388	P4_I9_M6	0.82
ENSMUSG00000026389	P1_I9_M1	0.88
ENSMUSG00000026390	UNCLASSIFIED	NA
ENSMUSG00000026393	P1_I9_M1	0.89
ENSMUSG00000026395	P2_I12_M1	0.94
ENSMUSG00000026398	P1_I9_M2	0.95
ENSMUSG00000026399	P2_I12_M7	0.95
ENSMUSG00000026401	UNCLASSIFIED	NA
ENSMUSG00000026404	P3_I9_M4	0.82
ENSMUSG00000026405	P1_I9_M2	0.95
ENSMUSG00000026407	P1_I9_M4	0.97
ENSMUSG00000026409	P6_I6_M1	0.85
ENSMUSG00000026411	P2_I12_M4	0.91
ENSMUSG00000026413	UNCLASSIFIED	NA
ENSMUSG00000026414	P1_I9_M3	0.92
ENSMUSG00000026415	UNCLASSIFIED	NA
ENSMUSG00000026417	P1_I9_M2	0.93
ENSMUSG00000026418	P3_I9_M23	0.98
ENSMUSG00000026421	P3_I9_M4	0.89
ENSMUSG00000026424	P4_I9_M20	0.89
ENSMUSG00000026425	P1_I9_M1	0.95
ENSMUSG00000026426	P1_I9_M1	0.95
ENSMUSG00000026427	P3_I9_M1	0.84
ENSMUSG00000026429	UNCLASSIFIED	NA
ENSMUSG00000026430	P5_I8_M9	0.86
ENSMUSG00000026433	P2_I12_M1	0.94
ENSMUSG00000026434	UNCLASSIFIED	NA
ENSMUSG00000026435	P1_I9_M2	0.88
ENSMUSG00000026436	P2_I12_M5	0.91
ENSMUSG00000026437	UNCLASSIFIED	NA
ENSMUSG00000026439	P5_I8_M9	0.87
ENSMUSG00000026442	P3_I9_M5	0.8
ENSMUSG00000026443	P3_I9_M12	0.94
ENSMUSG00000026447	UNCLASSIFIED	NA
ENSMUSG00000026452	UNCLASSIFIED	NA
ENSMUSG00000026455	P5_I8_M8	0.84
ENSMUSG00000026456	P1_I9_M1	0.85
ENSMUSG00000026457	P1_I9_M1	0.87
ENSMUSG00000026458	P3_I9_M11	0.93
ENSMUSG00000026459	P4_I9_M21	0.92
ENSMUSG00000026463	P4_I9_M12	0.94
ENSMUSG00000026466	P5_I8_M1	0.88
ENSMUSG00000026469	P5_I8_M17	0.89
ENSMUSG00000026470	P1_I9_M1	0.96
ENSMUSG00000026471	P2_I12_M3	0.92
ENSMUSG00000026473	UNCLASSIFIED	NA
ENSMUSG00000026475	UNCLASSIFIED	NA
ENSMUSG00000026478	P1_I9_M1	0.95
ENSMUSG00000026479	P3_I9_M1	0.91
ENSMUSG00000026480	P2_I12_M1	0.92
ENSMUSG00000026482	P1_I9_M1	0.91
ENSMUSG00000026483	P1_I9_M1	0.96
ENSMUSG00000026484	P5_I8_M1	0.91
ENSMUSG00000026489	UNCLASSIFIED	NA
ENSMUSG00000026490	P2_I12_M2	0.92
ENSMUSG00000026491	P3_I9_M9	0.91
ENSMUSG00000026492	UNCLASSIFIED	NA
ENSMUSG00000026494	UNCLASSIFIED	NA
ENSMUSG00000026495	P3_I9_M1	0.86
ENSMUSG00000026496	P4_I9_M1	0.93
ENSMUSG00000026499	P1_I9_M1	0.94
ENSMUSG00000026500	P4_I9_M8	0.88
ENSMUSG00000026502	P3_I9_M6	0.84
ENSMUSG00000026504	P5_I8_M3	0.93
ENSMUSG00000026509	P1_I9_M1	0.96
ENSMUSG00000026510	P3_I9_M17	0.89
ENSMUSG00000026511	P1_I9_M10	0.91
ENSMUSG00000026516	P7_I7_M1	0.91
ENSMUSG00000026519	P6_I6_M9	0.93
ENSMUSG00000026520	P2_I12_M4	0.94
ENSMUSG00000026525	UNCLASSIFIED	NA
ENSMUSG00000026526	P1_I9_M7	0.87
ENSMUSG00000026527	UNCLASSIFIED	NA
ENSMUSG00000026532	UNCLASSIFIED	NA
ENSMUSG00000026535	P2_I12_M6	0.94
ENSMUSG00000026536	P10_I3_M1	0.91
ENSMUSG00000026542	P1_I9_M2	0.89
ENSMUSG00000026544	UNCLASSIFIED	NA
ENSMUSG00000026546	P1_I9_M3	0.97
ENSMUSG00000026547	P1_I9_M1	0.92
ENSMUSG00000026548	P3_I9_M12	0.92
ENSMUSG00000026553	P3_I9_M15	0.81
ENSMUSG00000026554	P2_I12_M3	0.92
ENSMUSG00000026556	P3_I9_M1	0.92
ENSMUSG00000026558	P1_I9_M1	0.89
ENSMUSG00000026563	UNCLASSIFIED	NA
ENSMUSG00000026564	P1_I9_M4	0.96
ENSMUSG00000026565	P2_I12_M2	0.93
ENSMUSG00000026566	P1_I9_M1	0.88
ENSMUSG00000026567	UNCLASSIFIED	NA
ENSMUSG00000026568	UNCLASSIFIED	NA
ENSMUSG00000026571	P2_I12_M9	0.88
ENSMUSG00000026573	P3_I9_M10	0.81
ENSMUSG00000026574	P5_I8_M3	0.93
ENSMUSG00000026575	P1_I9_M3	0.89
ENSMUSG00000026576	P1_I9_M3	0.82
ENSMUSG00000026577	P1_I9_M1	0.93
ENSMUSG00000026578	P6_I6_M3	0.93
ENSMUSG00000026579	P1_I9_M2	0.98
ENSMUSG00000026580	P7_I7_M3	0.9
ENSMUSG00000026581	P6_I6_M7	0.92
ENSMUSG00000026582	P2_I12_M1	0.85
ENSMUSG00000026584	P4_I9_M14	0.9
ENSMUSG00000026585	P1_I9_M1	0.96
ENSMUSG00000026586	P4_I9_M1	0.94
