Module	VAT_1	VAT_12	VAT_13	VAT_16	VAT_17	VAT_2	VAT_20	VAT_22	VAT_24	VAT_25	VAT_27	VAT_30	VAT_32	VAT_33	VAT_34	VAT_39	VAT_40	VAT_42	VAT_43	VAT_45	VAT_48	VAT_49	VAT_53	VAT_54	VAT_57	VAT_59	VAT_63	VAT_64	VAT_7	VAT_8	VAT_9
P1_I9_M1	0.0629478099916583	0.0415455971128359	-0.418871070713499	-0.331814058680652	-0.0309689374744004	-0.0627503220046135	0.153788065076771	0.0311233361592879	-0.254932062019767	0.229738938742352	0.0171347285585668	0.1459680687722	-0.0161726941219262	0.177933646120436	0.186796093512172	0.0689350337117879	0.196251117841099	0.114386458292294	0.150483177712255	0.00261243850063402	0.212734791712735	-0.337666437062247	0.0962250753788107	-0.0358149894257964	-0.454406203676758	0.0501575758379877	0.0711673686729616	0.00129167783560658	-0.0984716692803926	0.0140007232993129	0.0166467216182886
P1_I9_M10	0.225235787841159	0.266677203406161	-0.0305717737670876	-0.00818928500323093	-0.210065966288516	0.127879783178723	-0.197140875875556	-0.196243061853582	-0.0329221623619642	-0.13737159170738	-0.158249309459841	-0.153126286060443	-0.244918364928377	-0.150092025561027	-0.0508894619495073	-0.169991927948775	-0.164299946776718	-0.122420633295759	-0.178614446058813	-0.20201594157669	-0.107832194399661	0.0799115622426094	0.277815785195949	0.204442970433969	-0.00833085477630782	0.24355172344862	0.256237850569975	0.236883475536982	0.164005878561135	0.217032944774365	0.223611144459591
P1_I9_M2	-0.145074506676051	-0.180811701221132	0.413976137373292	0.383638732172635	0.0311681895803828	-0.0207794499882718	-0.226113536385895	-0.055437218431363	0.192020638291662	-0.147782939066052	0.136645058714878	-0.177653667512488	-0.202627276725164	-0.0468770554869174	-0.134368415440766	-0.00697565021502103	-0.207185908537547	0.0236917150357814	-0.186240901356654	0.102971114158553	-0.0723385515319023	0.306774623560421	-0.0406378838396786	0.0165517103397864	0.354468525004607	-0.142991444632944	-0.137713764255224	0.0535744573584542	0.151960866090268	0.0823080587921318	-0.118139955169783
P1_I9_M3	-0.0715159866801983	-0.049774998620153	-0.119809053176857	-0.13273145906	-0.0798413535939759	-0.151966672790304	-0.127857218401464	-0.132865655058682	-0.0979085789185872	0.407957818951294	-0.104747631472072	0.319280524053123	-0.123812898795792	0.296595015324048	0.332642076002825	0.234194471093069	0.149594319357862	-0.129670515672398	0.155994193635171	-0.00852185282145253	0.353392304356014	-0.178478399628896	0.0338319227637098	-0.156690906351462	-0.184953667733931	-0.139498699104161	0.0536980566071321	-0.134931455356955	-0.0270242105643639	-0.110771263345313	-0.0738082249972311
P1_I9_M4	0.0962194493830593	-0.10357368543863	-0.0916442970870545	-0.168718813899419	-0.114331165845392	0.560171623812857	-0.150759457132996	0.350087592280337	0.0628899350776493	0.129401654506798	-0.133021343384792	-0.0135530018430337	0.0576433505494228	-0.117557444234732	-0.0684356143703017	-0.107401399526663	-0.151850141860234	-0.0952230832417123	-0.12860154009536	0.232315187409082	0.0687845945612952	-0.103937989818727	0.268185896577286	-0.185705254500049	-0.211546592214943	0.15161874507268	0.0498208099987091	0.247534602795692	-0.153507644842842	-0.0426450401487034	-0.132659932539281
P1_I9_M5	0.373971434014832	0.375620852355972	0.0789745055918704	0.128998894261717	-0.115156817387206	0.271084722508266	-0.0875167627641858	-0.121156881386982	-0.118938778926886	-0.0721280034312887	-0.0670402956092203	-0.0853238685631099	-0.123483783481037	-0.0921683473037878	-0.105687659565927	-0.0967973775612158	-0.104345926483479	-0.122471654456234	-0.109193990090096	-0.143029662701359	-0.103420381123021	-0.0715999863497571	-0.100857506971397	-0.105550018850627	-0.0722922943333775	-0.0822305181719248	-0.1108566763502	-0.084760625374005	0.298401922681446	0.37644627824256	0.392509207579659
P1_I9_M6	-0.113772472369292	-0.0993214923685236	-0.150389632935667	-0.13611275129171	-0.117019815774633	-0.133571200456652	-0.0975551908171417	-0.0605417538952527	0.118599217648485	-0.090265604618084	-0.103326622854861	-0.0976842262866449	-0.11845274164988	-0.0910296897615966	0.00923955061404547	-0.10357571991856	-0.0931708664176871	-0.0252981592344778	-0.104974995925597	-0.106517890884005	-0.0622277258201813	0.174664076276717	0.397420658126258	0.325817035910036	0.0900510611736486	0.376720569956674	0.405844561410539	0.358969520962206	-0.13663229542169	-0.103905354762846	-0.111980048613629
P1_I9_M7	0.190398709351399	0.0186069714570968	-0.171211658185434	-0.0811641306600044	0.148635057173562	0.0063991350787065	-0.104287489115781	-0.048509566224795	0.792291255509502	-0.082512291887291	-0.13455920417128	-0.073604371807592	0.0208032432349451	0.0277305866778026	0.0699520824550723	0.0205489437418073	-0.0715195641789113	-0.0841828191449604	0.0419820240193478	-0.0461931943452892	-0.0881706389372761	-0.129139480463889	0.0323237091102864	-0.0622546500226035	-0.211814357921088	0.32139017275592	0.00432256908661521	-0.0519038022259538	-0.00845416591810665	-0.144386935021302	-0.101516139420508
P1_I9_M8	0.103861998915503	-0.0376791094072473	-0.195319426636697	-0.160818518736741	0.190960304794735	0.20482421765814	-0.140725398865278	0.0915037973337185	0.567217120236702	-0.165527544807654	-0.0608964139647236	-0.0411365891215548	0.211210778449807	-0.112677497684667	-0.0730489467259078	0.0271492321099147	-0.122022217614407	-0.171022258320181	-0.0165403801595221	0.0322930825699668	-0.204766585427839	-0.0961043105215216	0.0516691986546167	0.126424870999611	-0.328081202257843	0.241336613002187	0.176778712294717	0.0518724500688117	0.0512492632049145	-0.275850043668635	0.0738648036270765
P1_I9_M9	0.20018828742328	0.226395632632118	-0.0333308984957349	0.00966006813613019	0.183315100486951	0.129447028859073	0.277289067664589	0.192834886481382	0.00828853467675682	0.190094918936047	0.178814697354919	0.232517204780039	0.204379725161026	-0.172461341594624	-0.177854838597948	-0.192361686700563	-0.196885836094713	-0.193582788856739	-0.199467883651177	-0.207163856682939	-0.146927667755778	-0.160680597686995	-0.166610092632362	-0.169708082687313	-0.169364209710707	-0.125943422735322	-0.157563626489901	-0.16118483191187	0.153188229253703	0.226790075310526	0.217888205128148
P10_I3_M1	-0.0208837053569746	-0.0157396758256085	-0.132172067310484	-0.126322128937162	-0.279144618110784	-0.0520392788788023	-0.166642341552655	-0.231037807281888	-0.224298366175395	0.0600234966427212	-0.184756626052015	-0.167192439728426	-0.251269063530011	0.277060365469356	0.318422092713712	0.265062464372215	0.309367237601571	0.22510344219056	0.302041519862658	0.230362584051398	0.161446467765153	-0.123321614237549	0.0133914225520049	0.0811020407740978	-0.158598351628172	-0.0228675872635555	0.017910384646053	0.00127685896321716	-0.107009004353659	-0.0138779582150138	0.0146022568334391
P10_I3_M2	-0.0136638887457233	-0.067612858472364	-0.32906267809277	-0.314941921431051	0.0948349241164193	-0.0472771261162121	-0.12511567880733	0.114464564471142	-0.214294012043439	-0.0113252177834004	0.0475855630914586	0.0641618026530056	0.307101442301542	0.116749123181676	0.202932667124233	0.308032778691723	0.0962223955036652	0.0221293437300238	0.166425226464473	0.221664041549156	0.020534304806544	-0.269516702108697	-0.0951340311848945	0.194701278744758	-0.357589438976855	-0.0528287551930618	0.0616147974645495	-0.027668621539606	-0.0271010177255467	-0.272237365522472	0.186215059849052
P10_I3_M3	-0.0672593903054504	0.031632425084294	0.374440038288708	0.196796289065979	-0.235955970178196	-0.223079269689963	0.254747462515485	-0.131649787879817	-0.00315464111017086	0.173008542195596	0.0476283956059197	0.00138655683471957	-0.373658986254759	0.0731324709510599	-0.0127034786783522	-0.238570368785243	0.235772446760857	0.119911502138615	-0.0004762462747511	-0.120560073453117	0.245093877954884	-0.00293539252696012	0.153836485698647	-0.214411990144747	0.127691993774847	-0.106123816751585	-0.129153570303515	-0.068192513386163	-0.00041954993410892	0.196409234469966	-0.303182675682678
