Mixture	Mast Cells	Neutrophil Cells	Eosinophil Cells	B_cell_average	Plasma Cells	M0 Macrophage	M1 Macrophage	M2 Macrophage	Monocyte	NK_average	DC_average	Th_average	T_CD4_average	T_CD8_average	P-value	Correlation	RMSE
VAT_1	0.0224769168165786	0	2.22916080518581e-05	0	0	0	0.0592665394054615	0.544653959761422	0.336525399171864	0.00471861953793826	0.00192605574507834	0	0.0304102179536056	0	0.04	0.200534541896814	1.00648146074037
VAT_12	0.0399766855484827	0	0.000686529572819138	0.031475810351969	0.0488520046319533	0.119593338729917	0.0848461205883107	0.149455920804903	0.431085900707315	0.0393204749202619	0	0	0.0547072141440677	0	0.024	0.246239748981178	0.979288701568439
VAT_13	0.0275268775005376	0	0.00073803127616494	0.0172651964453929	0.0297623260949341	0.326339460412048	0.0783238531421427	0.0771325720064848	0.30206105092684	0.0275042959518394	0.0281019503894772	0	0.0852443858541383	0	0.982	-0.0398345772456121	1.07935499434607
VAT_16	0.0130519588187723	0	0.00211602520079873	0.0121228916788695	0	0.365187184092825	0.0802537692632379	0.0574275530502425	0.367241839961629	0.0365621305220369	0.000309227737332947	0.0117975870696048	0.0539298326046508	0	0.942	-0.0328025876008482	1.08752565698751
VAT_17	0.0281600935980501	0	0	0	0	0.321866223409586	0.0317349096157503	0.267774113809737	0.274803918588707	0.0017630213035867	0	0	0.073897719674583	0	0.66	-0.0143926661602317	1.0840913278306
VAT_2	0.0311094655087138	0	0	0	0.000505562609009028	0.191418250977097	0.043331637566593	0.447169296197516	0.240885267963526	0.0115356509607106	0.00677532580250413	0	0.0272695424143297	0	0.36	0.013450964399827	1.08041681317937
VAT_20	0.0199339057978285	0	0.000695488602269689	0	0.0779760066267338	0.0116492824196413	0.0761112316349034	0.400528732762859	0.339700721636072	0.0156376908245859	0	0	0.0577669396951057	0	0.012	0.295820869986929	0.960598348247983
VAT_22	0.0611380348435166	0	0.000671228637925234	0.00544356292047395	0	0.086280486945661	0.0616692528678658	0.341656073957218	0.364998295155022	0.00410115216137031	5.08578441321189e-05	0	0.0739910546668147	0	0.4	0.00747841559371887	1.07335085685808
VAT_24	0.0572671801441988	0	0.00435478245528107	0	0	0.36142059831633	0.112313178637569	0.0323551828281732	0.297301166953004	0.0182461054980273	0	0	0.116741805167417	0	0.962	-0.0352641904720429	1.08265396580851
VAT_25	0.042138777059275	0	0.000778047540806991	0.0354320124522278	0.0385858682513632	0	0.0749339266028914	0.44455748471287	0.243530104312789	0.00142970136535497	0.000485413673755654	0	0.118128664028666	0	0.00800000000000001	0.333967654895811	0.944122865980753
VAT_27	0.0284340452812618	0	0	0.0208016844085177	0.00440279090802792	0.490601081815675	0.0184041805256112	0.0839413406025068	0.285287397852826	0.0113051819121554	0.00414117998594656	0	0.0526811167074717	0	0.838	-0.023657014486707	1.08526470719445
VAT_30	0.0494993737726607	0	0.000783233193396559	0.0332617079243195	0.0304449894556682	0	0.0840048694243609	0.415874079857872	0.304892706304443	0.00133212170664137	0	0	0.0799069183606385	0	0.022	0.250929073768766	0.976804003906533
VAT_32	0.0505195779969914	0	0	0.0638863455672246	0.0133454931721792	0.16930938848104	0.0289315516463016	0.19887901442444	0.328214910723975	0.0136284375177572	0.019073095303768	0	0.114212185166323	0	0.04	0.197959409468962	0.993163452152746
